name,price,rating,link,image_url,search_query,page
,,No rating,https://www.daraz.com.np/products/msi-cyborg-15-b2rwekg-laptop-15th-gen-intel-core-7-240h-16gb-ram-512gb-gen4-ssd-156-fhd-144hz-nvidia-rtx-5050-8gb-usb-c-i488717564.html,https://img.drz.lazcdn.com/static/np/p/691fb5a079d387ddcaacfe0d4a694da1.png_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/dell-latitude-3420-core-i5-11th-gen-8gb-ram-512gb-ssd-14-inch-fhd-windows-11-pro-business-series-professional-laptop-i128920020.html,https://img.drz.lazcdn.com/g/kf/Sc77b896dd5dd4e8f99c8ecc2db0e8286j.jpeg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/acer-nitro-v-15-gaming-laptop-intel-core-5-210h-processor-16gb-ddr4-ram-512gb-pcie-nvme-ssd-nvidia-geforce-rtx-5050-8gb-gddr7-vram-156-fhd-ips-165hz-2-years-warranty-i1519563319.html,https://img.drz.lazcdn.com/static/np/p/2bc15d10a44db45986d61109a73c48fa.png_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/msi-venture-14-ai-a1m-gaming-laptop-intel-core-ultra-5-8gb-ddr-ram-512gb-ssd-14-fhd-ips-panel-backlit-keyboard-90w-adapter-i1515999470.html,https://img.drz.lazcdn.com/static/np/p/60c463ab67e0ec6297244f55e7ae2207.png_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/dell-pro-15-pv15255-laptop-amd-ryzen-5-7520u-processor-8gb-ram-512gb-ssd-15-inch-fhd-120hz-ips-display-notebook-i1523238615.html,https://img.drz.lazcdn.com/static/np/p/5ffaebfae425976cc7846caa9a8d2d01.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/lenovo-ideapad-1-ryzen-5-7520u-8gb-ram-256gb-ssd-156-full-hd-laptop-abyss-blue-i1514701048.html,https://img.drz.lazcdn.com/static/np/p/31e6a019a5206728d5724f064aca459d.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/hp-15-fd0154wm-ultra-5-125h-processor-14th-gen-8gb-ddr5-ram-512gb-nvme-ssd-156-fhd-touchscreen-display-intel-integrated-graphics-windows-11-home-natural-silver-i1514320508.html,https://img.drz.lazcdn.com/static/np/p/61417ac91ed0d30a5b0e400ac4f9e383.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/asus-vivobook-14-x1404-intel-core-i7-1355u-13th-gen-12gb-ram-512gb-nvme-ssd-intel-uhd-integrated-graphics-14-fhd-1920-x-1080-display-windows-11-quiet-blue-i1544683437.html,https://img.drz.lazcdn.com/static/np/p/1a06148211cc804e8dc8b694b219bff7.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/asus-vivobook-15-a1502v-i7-13620h-13th-gen-16gb-ddr4-ram-512gb-nvme-ssd-intel-uhd-integrated-graphics-156-fhd-ips-display-quiet-blue-i1514700003.html,https://img.drz.lazcdn.com/static/np/p/25fa6d8c9491c74442de3db4a34a0f03.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/msi-cyborg-15-ai-b2hwekg-laptop-amd-ryzen-7-260-16gb-ram-512gb-gen4-ssd-156-fhd-144hz-nvidia-rtx-5050-8gb-usb-c-i488828008.html,https://img.drz.lazcdn.com/static/np/p/691fb5a079d387ddcaacfe0d4a694da1.png_200x200q80.avif,laptop,1
